method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE-B,future_f,9,8,445888.94053125003,4640096.62278125,70,True,-250.9666666666667,-155.5,-461.5,-0.25,0.15714285714285714,0.1,0.7428571428571429,0.15714285714285714
BRIDGE-B,future_f,9,9,445888.94053125003,4642490.11334375,111,True,-76.92492492492492,0.0,-124.5,0.0,0.08108108108108109,0.45045045045045046,0.46846846846846846,0.07207207207207207
BRIDGE-B,future_f,9,10,445888.94053125003,4644883.60390625,84,True,-22.51587301587302,0.0,-2.1666666666666665,20.25,0.35714285714285715,0.39285714285714285,0.25,0.3333333333333333
BRIDGE-B,future_f,9,11,445888.94053125003,4647277.09446875,16,True,-127.72916666666666,6.0,-260.4166666666667,47.333333333333336,0.5625,0.0625,0.375,0.5625
BRIDGE-B,future_f,9,12,445888.94053125003,4649670.5850312505,2,False,188.0,188.0,165.5,210.5,1.0,0.0,0.0,1.0
BRIDGE-B,future_f,10,4,446971.05321875,4630522.66053125,2,False,5.666666666666667,5.666666666666667,2.8333333333333335,8.5,0.5,0.5,0.0,0.0
BRIDGE-B,future_f,10,5,446971.05321875,4632916.15109375,9,True,36.333333333333336,0.0,0.0,65.33333333333333,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0
BRIDGE-B,future_f,10,6,446971.05321875,4635309.64165625,40,True,23.824999999999996,32.5,-81.5,213.0,0.65,0.0,0.35,0.35
BRIDGE-B,future_f,10,7,446971.05321875,4637703.13221875,171,True,-126.64522417153995,-136.0,-419.33333333333337,126.83333333333334,0.3567251461988304,0.0,0.6432748538011696,0.27485380116959063
BRIDGE-B,future_f,10,8,446971.05321875,4640096.62278125,164,True,-249.65447154471542,-131.5,-414.0,0.0,0.12804878048780488,0.17073170731707318,0.7012195121951219,0.11585365853658537
BRIDGE-B,future_f,10,9,446971.05321875,4642490.11334375,102,True,-31.333333333333332,0.0,-62.083333333333336,0.0,0.12745098039215685,0.5686274509803921,0.30392156862745096,0.11764705882352941
BRIDGE-B,future_f,10,10,446971.05321875,4644883.60390625,21,True,-41.85714285714286,47.0,-159.0,157.0,0.6190476190476191,0.09523809523809523,0.2857142857142857,0.6190476190476191
BRIDGE-B,future_f,10,11,446971.05321875,4647277.09446875,4,False,84.0,72.0,57.75,98.25,1.0,0.0,0.0,1.0
BRIDGE-B,future_f,11,3,448053.16590625,4628129.169968749,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,11,4,448053.16590625,4630522.66053125,5,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,11,5,448053.16590625,4632916.15109375,10,True,203.73333333333332,163.83333333333334,47.58333333333333,425.3333333333333,0.8,0.0,0.2,0.6
BRIDGE-B,future_f,11,6,448053.16590625,4635309.64165625,95,True,-5.5578947368421066,-32.333333333333336,-167.83333333333334,118.66666666666666,0.43157894736842106,0.0,0.5684210526315789,0.18947368421052632
BRIDGE-B,future_f,11,7,448053.16590625,4637703.13221875,220,True,-19.909090909090917,-28.0,-327.75,279.25,0.44545454545454544,0.013636363636363636,0.5409090909090909,0.38636363636363635
BRIDGE-B,future_f,11,8,448053.16590625,4640096.62278125,102,True,-67.00000000000001,-40.5,-293.25,184.75,0.39215686274509803,0.049019607843137254,0.5588235294117647,0.37254901960784315
BRIDGE-B,future_f,11,9,448053.16590625,4642490.11334375,6,True,-164.44444444444446,-218.0,-515.25,169.5,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
