source,target,length_m,highway,osm_way_id
5911823473,33754411,5.63,residential,5043581
33754411,1107013899,111.935,residential,5043581
1107013899,5911688758,57.113,residential,5043581
5911688758,33754413,9.184,residential,5043581
26098027,713242029,63.078,motorway_link,5046194
713242029,713242035,47.076,motorway_link,5046194
713242035,713242038,85.802,motorway_link,5046194
253960274,2263595038,10.881,tertiary,5046195
2263595038,253960274,10.881,tertiary,5046195
2263595038,7698555317,43.726,tertiary,5046195
7698555317,2263595038,43.726,tertiary,5046195
7698555317,253960272,67.117,tertiary,5046195
253960272,7698555317,67.117,tertiary,5046195
35029160,35029157,34.804,residential,5109950
35029157,35029160,34.804,residential,5109950
35029157,1107013840,73.006,residential,5109950
1107013840,35029157,73.006,residential,5109950
1107013840,35029155,4.346,residential,5109950
35029155,1107013840,4.346,residential,5109950
35029155,6864065882,7.145,residential,5109950
6864065882,35029155,7.145,residential,5109950
6864065882,1107013891,5.871,residential,5109950
1107013891,6864065882,5.871,residential,5109950
1107013891,35029151,12.453,residential,5109950
35029151,1107013891,12.453,residential,5109950
35029151,35029148,60.827,residential,5109950
35029148,35029151,60.827,residential,5109950
35029148,1107013901,12.395,residential,5109950
1107013901,35029148,12.395,residential,5109950
1107013901,1643577885,6.642,residential,5109950
1643577885,1107013901,6.642,residential,5109950
1643577885,35029145,7.343,residential,5109950
35029145,1643577885,7.343,residential,5109950
35029145,1107013936,24.456,residential,5109950
1107013936,35029145,24.456,residential,5109950
1107013936,35029142,6.496,residential,5109950
35029142,1107013936,6.496,residential,5109950
35029142,35029135,72.02,residential,5109950
35029135,35029142,72.02,residential,5109950
1642947619,2263152108,13.97,residential,5109951
2263152108,1642947619,13.97,residential,5109951
2263152108,705003397,56.94,residential,5109951
705003397,2263152108,56.94,residential,5109951
705003397,5492878545,11.654,residential,5109951
5492878545,705003397,11.654,residential,5109951
5492878545,5912231027,43.734,residential,5109951
5912231027,5492878545,43.734,residential,5109951
5912231027,33392324,12.958,residential,5109951
33392324,5912231027,12.958,residential,5109951
33392324,1642947516,12.984,residential,5109951
1642947516,33392324,12.984,residential,5109951
1642947516,1961538167,43.207,residential,5109951
1961538167,1642947516,43.207,residential,5109951
1961538167,705003399,10.369,residential,5109951
705003399,1961538167,10.369,residential,5109951
705003399,2897211063,17.694,residential,5109951
2897211063,705003399,17.694,residential,5109951
2897211063,5911887550,35.46,residential,5109951
5911887550,2897211063,35.46,residential,5109951
5911887550,33392327,6.101,residential,5109951
33392327,5911887550,6.101,residential,5109951
33392327,33392330,14.459,residential,5109951
33392330,33392327,14.459,residential,5109951
33392330,1642947488,7.097,residential,5109951
1642947488,33392330,7.097,residential,5109951
1642947488,35029135,78.029,residential,5109951
35029135,1642947488,78.029,residential,5109951
35029135,1642947394,12.666,residential,5109951
1642947394,35029135,12.666,residential,5109951
1642947394,1107013887,1.633,residential,5109951
1107013887,1642947394,1.633,residential,5109951
1107013887,1107013884,24.184,residential,5109951
1107013884,1107013887,24.184,residential,5109951
1107013884,1107013822,49.148,residential,5109951
1107013822,1107013884,49.148,residential,5109951
262158752,8474748788,16.6,secondary,5109974
8474748788,262158752,16.6,secondary,5109974
8474748788,2244545608,99.63,secondary,5109974
2244545608,8474748788,99.63,secondary,5109974
2244545608,8474748787,74.819,secondary,5109974
8474748787,2244545608,74.819,secondary,5109974
8474748787,305895971,12.316,secondary,5109974
