node_id,lon,lat,x_m,y_m
305577383,-87.7673172,42.0233534,436475.655,4652653.894
305577384,-87.7676948,42.024042,436445.08,4652730.63
305577385,-87.7683584,42.0255433,436391.639,4652897.813
305577386,-87.7685987,42.0265825,436372.782,4653013.375
305577387,-87.7686846,42.0275325,436366.618,4653118.917
305577388,-87.7685789,42.0308449,436378.671,4653486.616
305577389,-87.7684072,42.0332994,436395.331,4653759.013
305577390,-87.7678177,42.0348705,436445.693,4653933.015
305577391,-87.7668306,42.0364579,436528.978,4654108.532
305577392,-87.7642643,42.0390524,436743.966,4654394.701
305577393,-87.7621786,42.0430873,436920.586,4654841.158
305577394,-87.7618954,42.049869,436950.731,4655593.927
305577395,-87.7618524,42.0512329,436955.638,4655745.33
305577396,-87.7611658,42.0538077,437015.0,4656030.707
305577397,-87.7604534,42.0551269,437075.252,4656176.655
305577398,-87.759329,42.0564844,437169.631,4656326.552
305869051,-87.747553,41.9815534,438071.373,4647998.363
305869052,-87.7472629,41.9811989,438095.062,4647958.793
305869053,-87.746924,41.9805041,438122.465,4647881.405
305869054,-87.7467892,41.9799392,438133.085,4647818.587
305869055,-87.7467615,41.9790572,438134.526,4647720.639
305869056,-87.7469088,41.9784305,438121.717,4647651.163
305869057,-87.747295,41.9774223,438088.745,4647539.503
305869058,-87.7475697,41.9762527,438064.853,4647409.841
305869059,-87.7476,41.9758169,438061.921,4647361.477
305895263,-87.6667373,41.9725741,444758.565,4646946.126
305895264,-87.666624,41.9717697,444767.257,4646856.741
305895282,-87.6676028,41.9698434,444684.492,4646643.497
305895971,-87.6792381,41.9705661,443721.058,4646731.316
305896089,-87.6890831,41.9741009,442908.494,4647130.296
305896090,-87.6891153,41.9749226,442906.56,4647221.55
305896645,-87.688893,41.968612,442919.343,4646520.741
305896646,-87.6885527,41.9686159,442947.544,4646520.947
305897361,-87.7013962,41.9685178,441883.256,4646518.688
305897392,-87.7005136,41.968527,441956.395,4646519.111
305898409,-87.7110662,41.9736151,441086.705,4647091.242
305898751,-87.7219106,41.9683177,440183.263,4646510.59
305898844,-87.7268149,41.9682642,439776.846,4646508.086
305898845,-87.7256065,41.9682774,439876.985,4646508.703
305898846,-87.7243875,41.9682907,439978.004,4646509.325
305898851,-87.7231431,41.9683043,440081.127,4646509.964
305898854,-87.720702,41.9683309,440283.42,4646511.213
305898855,-87.7194709,41.9683443,440385.44,4646511.843
305898857,-87.7170284,41.968371,440587.849,4646513.111
305898859,-87.715821,41.9683842,440687.906,4646513.74
305898860,-87.714594,41.9683976,440789.586,4646514.379
305898903,-87.7303525,41.9755088,439490.579,4647314.941
305898910,-87.7310013,41.9755041,439436.822,4647314.878
305898978,-87.7282316,41.9750835,439665.895,4647266.225
305899003,-87.7282182,41.9746299,439666.577,4647215.852
305899644,-87.7171431,41.9728983,440582.553,4647015.853
305899826,-87.7183994,41.9734763,440479.002,4647080.9
305900888,-87.7165316,41.9720165,440632.399,4646917.524
305900902,-87.7128924,41.9720353,440933.941,4646917.095
305900915,-87.7134824,41.9721609,440885.172,4646931.448
305900931,-87.7134797,41.9719341,440885.186,4646906.264
305901367,-87.7281388,41.9718847,439670.564,4646910.999
305901377,-87.7280882,41.9700686,439673.043,4646709.323
305901635,-87.7391674,41.9681279,438753.193,4646501.709
305901647,-87.7378959,41.9681432,438858.564,4646502.5
305901652,-87.7354432,41.96817,439061.819,4646503.728
305901655,-87.7366724,41.9681566,438959.955,4646503.115
305901658,-87.7342053,41.9681835,439164.404,4646504.347
305901668,-87.7329672,41.968197,439267.005,4646504.968
305901672,-87.7317368,41.9682104,439368.968,4646505.584
305901676,-87.730482,41.9682241,439472.954,4646506.218
305901680,-87.7292592,41.9682375,439574.287,4646506.843
305901689,-87.7401597,41.9681159,438670.96,4646501.087
305901808,-87.739933,41.969022,438690.613,4646601.528
305901831,-87.7436787,41.9702748,438381.457,4646743.313
305902041,-87.7419095,41.9753983,438532.974,4647310.901
305902042,-87.7406782,41.9754102,438634.999,4647311.339
305902043,-87.7393784,41.9754228,438742.7,4647311.808
305902045,-87.7381022,41.9754352,438848.445,4647312.273
305902051,-87.7368665,41.9754472,438950.835,4647312.724
305902097,-87.7356284,41.9754592,439053.423,4647313.175
305902117,-87.7343981,41.9754711,439155.365,4647313.621
305902145,-87.7331754,41.975483,439256.677,4647314.075
305902896,-87.7418599,41.9731016,438534.875,4647055.864
305903012,-87.7414591,41.9681019,438563.279,4646500.463
305903014,-87.7428361,41.9680871,438449.167,4646499.809
305903018,-87.7440652,41.9680738,438347.311,4646499.216
305903026,-87.7453066,41.9680605,438244.436,4646498.633
305903057,-87.7478539,41.9698535,438035.105,4646699.548
305903064,-87.7478769,41.9707709,438034.088,4646801.423
305903066,-87.7478918,41.9716833,438033.738,4646902.737
305903072,-87.7479037,41.9725915,438033.633,4647003.582
305903280,-87.7537999,41.974345,437546.822,4647202.554
305903312,-87.7533026,41.97436,437588.039,4647203.857
305903342,-87.7514064,41.9707226,437741.6,4646798.619
305903350,-87.7509484,41.9689001,437777.775,4646595.935
305903360,-87.7502539,41.9686434,437835.07,4646566.93
305903389,-87.7509796,41.9743847,437780.528,4647204.909
305903391,-87.7565368,41.9752314,437320.935,4647302.969
305903398,-87.7590138,41.9752022,437115.685,4647301.543
305903399,-87.7552785,41.9752462,437425.2,4647303.693
305903400,-87.7577601,41.9752169,437219.57,4647302.255
305903401,-87.7602607,41.9751875,437012.365,4647300.826
305903402,-87.7627569,41.975158,436805.524,4647299.39
305903428,-87.763963,41.9751438,436705.584,4647298.703
305903447,-87.7653473,41.9730004,436588.767,4647061.747
305903488,-87.7647108,41.9733164,436641.817,4647096.361
